eh	é,IN,79
facul	faculdade,IN,2 
ta	está,IN,1 estar,IN,1
to	estou,IN,1
vandalismooo	vandalismo,IN,5 
d	de,IN,11 
lindaaaa	linda,IN,1 
mt	muito,IN,16 
ne	né,IN,1 
bj	beijo,IN,1 
c	você,IN,1 se,IN,3 
vo	vou,IN,1
fzr	fazer,IN,2
mainha	mãe,IN,1 
neeem	nem,IN,1 
despiei	fui,IN,1  
aki	aqui,IN,6 
dakele	daquele,IN,1 
dindim	dinheiro,IN,1 
idemmmmmmmmmm	idem,IN,1 
jah	já,IN,2 
kd	cadê,IN,5 
lah	lá,IN,2 
quotando	#,IN,1 
soh	só,IN,7 
tah	tá,IN,6 está,IN,11 
ve	#,IN,1 
vlw	valeu,IN,3 
vlws	valeu,IN,1 
aminho	amo,IN,1 
carai	caralho,IN,2 
cm	com,IN,1 
cmg	comigo,IN,1 
moveei	#,IN,1 
ops	opa,IN,1 
bagui	bagulho,IN,1 
nois	nós,IN,8 #,IN,2 
vamo	#,IN,1 
po	#,IN,2 
guenta	aguenta,IN,1 
lindoooo	lindo,IN,1 
mamis	mamãe,IN,1 
sla	#,IN,1 
tl	timeline,IN,1 
coisica	#,IN,4 coisinha,IN,5 coisa,IN,5 
axei	achei,IN,1 
caraio	caralho,IN,3 
cel	celular,IN,1 
id	identificação,IN,1 
miga	amiga,IN,3 
migos	amigos,IN,2 
vei	velho,IN,4 #,IN,2 
zuarem	zombar,IN,1 
goooool	gol,IN,1 
mayyybbbbeeee	maybe,IN,1 
tuuu	tu,IN,1 
berrooooo	berro,IN,1 
brasuca	#,IN,1 
v	ver,IN,1 
kedi	cadê,IN,1 
mimmm	mim,IN,1 
tou	estou,IN,4 
history	#,IN,1 
juntooooo	junto,IN,1 
akilo	aquilo,IN,1 
blaster	ótima,IN,1 
cells	céus,IN,2 
dah	dá,IN,3 
karai	caralho,IN,1 
ki	que,IN,18 #,IN,1 
naum	não,IN,9 
queeeeeee	que,IN,1 
vazaaaaaaaaaaaa	vaza,IN,1 
vey	,IN,1 velho,IN,3 
pistolei	#,IN,1 
afrontaaaaaa	afronta,IN,1 
jacareeeeeee	jacaré,IN,1 
qro	quero,IN,2 
bandidaaaaaaaaaaaaaaa	bandida,IN,4 #,IN,1 
ah	#,IN,5 
pelamor	#,IN,1 
roupaaa	roupa,IN,1 
smp	sempre,IN,4 
axo	acho,IN,3 
demsss	demais,IN,3 
idd	#,IN,1 
magrin	magrinho,IN,1 
lags	atrasos,IN,1 
guriaa	guria,IN,1 
xulianaaaaaa	#,IN,1 
ae	aí,IN,5 #,IN,1 
mo	maior,IN,1 meu,IN,1 
akeles	aqueles,IN,1 
maaais	mas,IN,1 
diaa	dia,IN,1 
voteiiiiiiiii	votei,IN,1 
yesssssssss	yes,IN,1 
twetando	#,IN,1 
pow	#,IN,1 poxa,IN,1 pô,IN,1 
tds	todos,IN,1 
dispiei	dispistei,IN,1 desapareci,IN,1 saí,IN,1 
mozaumm	amorzão,IN,3 #,IN,1 amor,IN,1 
simmm	sim,IN,4 #,IN,1 
post	#,IN,1 
af	ave!,IN,1 aff,IN,1 
brincks	brincadeira,IN,1 
mow	maior,IN,1 
simm	sim,IN,2 
ahhh	ah,IN,2 
putz	poxa,IN,1 #,IN,1 
sacooooo	saco,IN,1 
trab	trabalhar,IN,1 
aaaaa	ah,IN,3 
massss	mas,IN,1 
queeeee	que,IN,1 
safadeeeeenha	safadinha,IN,1 
bora	vamos,IN,1 
etccccc	#,IN,1 
gnt	gente,IN,4 
mermo	#,IN,1 
ahn	ah,IN,1 
clichezudo	clichê,IN,1 
porreiro	bravo,IN,1 
alfinetante	desconfortante,IN,1 
bombar	arrasar,IN,1 
dislates	disparates,IN,1 
fofolete	fofa,IN,2 
pitacos	palpites,IN,1 
tadinha	coitada,IN,1 
eeee	e,IN,2 
eeeee	e,IN,1 
