caralho	#,Ja-corrigido,14 
rosinha	#,Ja-corrigido,5 
vozinha	#,Ja-corrigido,5 
2k	#,Ja-corrigido,1 
ciuminho	#,Ja-corrigido,1 
ah	#,Ja-corrigido,13 
cuzona	#,Ja-corrigido,1 
difames	#,Ja-corrigido,1 
sul	#,Ja-corrigido,3 
ganhei	#,Ja-corrigido,2 
norte	#,Ja-corrigido,1 
shortinho	#,Ja-corrigido,1 
soltinha	#,Ja-corrigido,1 
superdecote	#,Ja-corrigido,1 
twitter	#,Ja-corrigido,1 
viada	#,Ja-corrigido,1 
zona	#,Ja-corrigido,4 
3h58	#,Ja-corrigido,3 
ai	aí,Ja-corrigido,1 #,Ja-corrigido,8 
internet	#,Ja-corrigido,1 
z	#,Ja-corrigido,2 
zoa	#,Ja-corrigido,3 
atorzinho	#,Ja-corrigido,1 
cedinho	#,Ja-corrigido,1 
forum	#,Ja-corrigido,6 
lindona	#,Ja-corrigido,1 
maracutaia	#,Ja-corrigido,1 
quotando	#,Ja-corrigido,1 
ei	#,Ja-corrigido,8 
va	#,Ja-corrigido,1 
esta	#,Ja-corrigido,25 
ops	#,Ja-corrigido,1 
seis	#,Ja-corrigido,5 
zero	#,Ja-corrigido,6 
musiquinha	#,Ja-corrigido,1 
vamo	#,Ja-corrigido,1 
5h	#,Ja-corrigido,2 
dorzinha	#,Ja-corrigido,1 
trafiquem	#,Ja-corrigido,1 
cintaralho	#,Ja-corrigido,1 
3d	#,Ja-corrigido,16 
agendados	#,Ja-corrigido,1 
coisica	#,Ja-corrigido,3 
globistas	#,Ja-corrigido,2 
1080x1920	#,Ja-corrigido,1 
2448x3264	#,Ja-corrigido,1 
intuitividade	#,Ja-corrigido,1 
x	#,Ja-corrigido,12 
quiser	#,Ja-corrigido,16 
site	#,Ja-corrigido,1 
avatares	#,Ja-corrigido,4 
ira	#,Ja-corrigido,1 
1gb	#,Ja-corrigido,1 
4gb	#,Ja-corrigido,1 
64mb	#,Ja-corrigido,1 
conectar	#,Ja-corrigido,9 
jogabilidade	#,Ja-corrigido,4 
l	#,Ja-corrigido,1 
mp3	#,Ja-corrigido,1 
bambis	#,Ja-corrigido,1 
viadinhos	#,Ja-corrigido,1 
dancinha	#,Ja-corrigido,1 
discorrendo	#,Ja-corrigido,1 
oh	#,Ja-corrigido,6 
23hs	#,Ja-corrigido,1 
avatar	#,Ja-corrigido,1 
bombava	#,Ja-corrigido,1 
emoji	#,Ja-corrigido,1 
showzinhos	#,Ja-corrigido,1 
amorzinho	#,Ja-corrigido,4 
brasilis	#,Ja-corrigido,1 
patricinha	#,Ja-corrigido,1 
desinstalar	#,Ja-corrigido,4 
jega	#,Ja-corrigido,2 
kg	#,Ja-corrigido,2 
sincronizei	#,Ja-corrigido,1 
coquetelzinho	#,Ja-corrigido,1 
120hz	#,Ja-corrigido,1 
240hz	#,Ja-corrigido,2 
2d	#,Ja-corrigido,4 
24h	#,Ja-corrigido,2 
polegador	#,Ja-corrigido,1 
igualzinho	#,Ja-corrigido,3 
quebradinha	#,Ja-corrigido,1 
viado	#,Ja-corrigido,2 
04h	#,Ja-corrigido,1 
21h	#,Ja-corrigido,1 
curtirei	#,Ja-corrigido,2 
gastei	#,Ja-corrigido,6 
falhei	#,Ja-corrigido,1 
gringas	#,Ja-corrigido,2 
120hetz	#,Ja-corrigido,1 
3g	#,Ja-corrigido,4 
pesadinho	#,Ja-corrigido,1 
dispiei	#,Ja-corrigido,1 
pertinho	#,Ja-corrigido,1 
planinhos	#,Ja-corrigido,1 
porcelanato	#,Ja-corrigido,1 
zoando	#,Ja-corrigido,1 
128mb	#,Ja-corrigido,1 
256mb	#,Ja-corrigido,1 
750gb	#,Ja-corrigido,1 
recarregar	#,Ja-corrigido,3 
w	#,Ja-corrigido,1 
zumbi	#,Ja-corrigido,1 
zumbidos	#,Ja-corrigido,1 
12v	#,Ja-corrigido,1 
6v	#,Ja-corrigido,1 
acessar	#,Ja-corrigido,3 
200g	#,Ja-corrigido,1 
700g	#,Ja-corrigido,1 
monocelha	#,Ja-corrigido,1 
30min	#,Ja-corrigido,1 
surtou	#,Ja-corrigido,1 
culinarista	#,Ja-corrigido,2 
lx	#,Ja-corrigido,1 
pequizinha	#,Ja-corrigido,1 
tadinha	#,Ja-corrigido,1 
24hs	#,Ja-corrigido,2 
clique	#,Ja-corrigido,1 
disponibilizado	#,Ja-corrigido,1 
rosa	#,Ja-corrigido,1 
8gb	#,Ja-corrigido,3 
