aaaaa	#,Lixo,9 
caralho	#,Lixo,1 
hahahahha	#,Lixo,5 
kkkk	#,Lixo,40 
kkkkk	#,Lixo,36 
kkkkkk	#,Lixo,32 
plau	#,Lixo,6 
q	que,Lixo,1 
ta	#,Lixo,1 
to	#,Lixo,1 
xd	#,Lixo,12 
ahhhhh	#,Lixo,1 
d	#,Lixo,4 
hahahahahahaha	#,Lixo,2 
jhjkhf	#,Lixo,1 
n	#,Lixo,1 
sz	#,Lixo,1 
xdddd	#,Lixo,1 
the	#,Lixo,1 
ah	#,Lixo,1 
bue	#,Lixo,4 
carajo	#,Lixo,1 
el	#,Lixo,3 
hahahaha	#,Lixo,5 
kkkkkkkkkkkkkk	#,Lixo,4 
lol	#,Lixo,4 
mm	#,Lixo,1 
rs	#,Lixo,17 
snap	#,Lixo,1 
aaaa	#,Lixo,4 
c	#,Lixo,2 
kkkkkkkkkkkkkkkkkkkkk	#,Lixo,1 
2j	#,Lixo,1 
encor	#,Lixo,1 
jor	#,Lixo,1 
ksksksksksks	#,Lixo,2 
mes	#,Lixo,2 
vac	#,Lixo,2 
kkkkkkkkk	#,Lixo,12 
so	#,Lixo,1 
z	#,Lixo,1 
aaaaaaaannnnnn	#,Lixo,1 
kd	cadê,Lixo,1 
bb	#,Lixo,1 
ei	#,Lixo,2 
hahahha	#,Lixo,1 
heheh	#,Lixo,1 
hunf	#,Lixo,1 
la	#,Lixo,2 
va	#,Lixo,1 
bgl	#,Lixo,1 
cos	#,Lixo,1 
cuando	#,Lixo,1 
kkkkkkkkkkkkkkkkkkkkkkk	#,Lixo,2 
rbd	#,Lixo,1 
rsrs	#,Lixo,5 
rsrsrsrsr	#,Lixo,1 
ksksks	#,Lixo,1 
kkkkkkk	#,Lixo,21 
t	#,Lixo,3 
tt	#,Lixo,1 
s	#,Lixo,6 
faci	#,Lixo,1 
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	#,Lixo,5 
obs	#,Lixo,1 
vei	#,Lixo,3 
x	#,Lixo,7 
akdusjusbeujws	#,Lixo,1 
asopkdpoaskpdoaskodksaop	#,Lixo,1 
good	#,Lixo,1 
nene	#,Lixo,1 
aaa	#,Lixo,11 
crlh	#,Lixo,1 
pe	#,Lixo,1 
kkkkkkkkkkk	#,Lixo,5 
kkkkkkkkkkkkk	#,Lixo,4 
kkkkkkkkkkkkkkk	#,Lixo,3 
kkkkkkkkkkkkkkkkk	#,Lixo,3 
ow	#,Lixo,1 
l	#,Lixo,3 
haha	#,Lixo,5 
kkkkkkj	#,Lixo,1 
le	#,Lixo,1 
pousse	#,Lixo,1 
qui	#,Lixo,1 
sous	#,Lixo,1 
vie	#,Lixo,1 
hahaha	#,Lixo,9 
heim	#,Lixo,2 
ki	que,Lixo,1 
kkkkkkkkkkkkkkkk	#,Lixo,1 
oh	#,Lixo,1 
rrsrsr	#,Lixo,1 
rsrsr	#,Lixo,2 
ha	#,Lixo,4 
hauhauhauahuahu	#,Lixo,1 
happybvanessagiacomo	#,Lixo,1 
kkk	#,Lixo,32 
kkkkkkjjjjj	#,Lixo,5 
lin	#,Lixo,2 
rt	#,Lixo,2 
vey	#,Lixo,1 
avyll	#,Lixo,1 
emanc	#,Lixo,1 
jd	#,Lixo,1 
mo	#,Lixo,2 
u	#,Lixo,1 
uhum	#,Lixo,2 
hahah	#,Lixo,1 
brasilis	#,Lixo,1 
kkkkkkkk	#,Lixo,15 
rsrsrsr	#,Lixo,5 
fut	#,Lixo,1 
you	#,Lixo,1 
ajdjsj	#,Lixo,5 
idd	#,Lixo,1 
jega	#,Lixo,1 
r	#,Lixo,9 
hmm	#,Lixo,2 
ahuashuas	#,Lixo,1 
rsrsrs	#,Lixo,4 
im	#,Lixo,1 
viado	#,Lixo,3 
hahahauahahau	#,Lixo,1 
kkkkkkkkkkkkm	#,Lixo,1 
alpha	#,Lixo,1 
dan	#,Lixo,1 
dee	#,Lixo,1 
fuerte	#,Lixo,1 
gen	#,Lixo,1 
hawk	#,Lixo,1 
jay	#,Lixo,1 
rufus	#,Lixo,1 
sakura	#,Lixo,1 
kk	#,Lixo,17 
sorry	#,Lixo,1 
topper	#,Lixo,1 
wwe	#,Lixo,1 
paginas	#,Lixo,1 
af	#,Lixo,2 
hehehe	#,Lixo,2 
green	#,Lixo,1 
i	#,Lixo,2 
it	#,Lixo,3 
light	#,Lixo,1 
that	#,Lixo,1 
ue	#,Lixo,1 
waiting	#,Lixo,1 
want	#,Lixo,1 
hummmmmmmmm	#,Lixo,1 
kkkkkkkkkkkkkkkkkkkk	#,Lixo,2 
b	#,Lixo,3 
kkkkkkkkkk	#,Lixo,5 
bah	#,Lixo,1 
haahha	#,Lixo,1 
grrrrrrr	#,Lixo,1 
grrrrrrrrrrrrrrrrrrrrrrr	#,Lixo,1 
hummmmm	#,Lixo,1 
nhoc	#,Lixo,2 
pi	#,Lixo,1 
rsrsrsrsrs	#,Lixo,1 
sip	#,Lixo,1 
yay	#,Lixo,2 
aaaaaaaaaaa	#,Lixo,1 
hahahhahahahhahahahahaha	#,Lixo,1 
huashshshshsh	#,Lixo,1 
shuahsua	#,Lixo,1 
baca	#,Lixo,3 
bla	#,Lixo,3 
mamao	#,Lixo,1 
al	#,Lixo,1 
enhorabona	#,Lixo,1 
gd	#,Lixo,1 
hauahau	#,Lixo,1 
mane	#,Lixo,1 
mkkkkkk	#,Lixo,1 
grr	#,Lixo,1 
rrrsrsrsrs	#,Lixo,1 
khfdkjfheskufhes	#,Lixo,1 
chair	#,Lixo,1 
clinical	#,Lixo,1 
composite	#,Lixo,1 
ehe	#,Lixo,1 
equia	#,Lixo,1 
k	#,Lixo,7 
procedure	#,Lixo,1 
aff	#,Lixo,1 
dimm	#,Lixo,1 
jujjuu	#,Lixo,1 
mps	#,Lixo,1 
an	#,Lixo,1 
girls	#,Lixo,1 
h	#,Lixo,1 
kkkkkkkkkkkk	#,Lixo,8 
aaaaaaaaa	#,Lixo,2 
convos	#,Lixo,1 
jposte	#,Lixo,1 
pas	#,Lixo,1 
pkpjkpllk	#,Lixo,1 
presque	#,Lixo,1 
quels	#,Lixo,1 
screens	#,Lixo,2 
tho	#,Lixo,1 
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	#,Lixo,1 
rrrss	#,Lixo,1 
gb	#,Lixo,1 
