helo	#,NP,5 
justin	#,NP,43 
mari	#,NP,8 
p	para,NP,1 
plau	#,NP,1 
raron	#,NP,5 
steve	#,NP,6 
tefah	#,NP,5 
app	#,NP,1 
bieber	#,NP,10 
d	#,NP,3 
dj	#,NP,2 
emilly	#,NP,41 
facepaint	#,NP,1 
love	#,NP,2 
n	#,NP,1 
omfg	#,NP,1 
podcast	#,NP,3 
sporting	#,NP,2 
vevoo	#,NP,1 
anamara	#,NP,12 
angelis	#,NP,2 
bambam	#,NP,6 
borges	#,NP,1 
brasil	#,NP,46 
brother	#,NP,21 
carretero	#,NP,3 
casassola	#,NP,4 
champions	#,NP,2 
fani	#,NP,10 
house	#,NP,2 
instagram	#,NP,23 
m	#,NP,4 
marien	#,NP,17 
maroca	#,NP,15 
marrakech	#,NP,1 
maumau	#,NP,1 
maumaujoah	#,NP,1 
pacheco	#,NP,1 
paulinha	#,NP,5 
the	#,NP,17 
tv	#,NP,2 
we	#,NP,1 
android	#,NP,38 
beach	#,NP,1 
cup	#,NP,2 
el	#,NP,9 
eurasia	#,NP,1 
jmo	#,NP,1 
my	#,NP,3 
nah	#,NP,1 
robbers	#,NP,1 
snap	#,NP,7 
sul	#,NP,2 
sumol	#,NP,1 
american	#,NP,2 
c	#,NP,2 
cold	#,NP,2 
curitiba	#,NP,2 
emyllin	#,NP,1 
ferrero	#,NP,1 
luccas	#,NP,10 
oik	#,NP,1 
rocher	#,NP,1 
story	#,NP,1 
weater	#,NP,1 
adriane	#,NP,1 
andressa	#,NP,16 
anitta	#,NP,1 
babi	#,NP,1 
bahls	#,NP,1 
caribe	#,NP,1 
catra	#,NP,1 
elieser	#,NP,16 
fernanda	#,NP,17 
galisteu	#,NP,1 
ganacin	#,NP,2 
kamilla	#,NP,24 
kriwat	#,NP,1 
lancelloti	#,NP,1 
leo	#,NP,1 
luciano	#,NP,2 
mc	#,NP,4 
miranda	#,NP,6 
monique	#,NP,3 
motta	#,NP,1 
nandakeulla	#,NP,1 
nasser	#,NP,13 
nicole	#,NP,2 
norte	#,NP,1 
paulo	#,NP,9 
raphael	#,NP,1 
reality	#,NP,2 
ronny	#,NP,1 
rossi	#,NP,1 
serginho	#,NP,1 
soltinha	#,NP,2 
szafir	#,NP,1 
thammy	#,NP,1 
twitter	#,NP,24 
viana	#,NP,1 
zona	#,NP,2 
europa	#,NP,1 
tweet	#,NP,8 
gabi	#,NP,1 
internet	#,NP,23 
kpop	#,NP,2 
purpose	#,NP,2 
so	#,NP,1 
tag	#,NP,1 
tour	#,NP,3 
vivian	#,NP,17 
bila	#,NP,1 
boninho	#,NP,18 
eli	#,NP,1 
gadernal	#,NP,1 
gretchen	#,NP,2 
kamila	#,NP,4 
molahs	#,NP,1 
stifler	#,NP,1 
crush	#,NP,1 
dev	#,NP,1 
ei	#,NP,1 
la	#,NP,12 
trigger	#,NP,1 
antonelli	#,NP,1 
cesar	#,NP,3 
david	#,NP,1 
fernandinho	#,NP,1 
giovanna	#,NP,2 
khedira	#,NP,1 
kroos	#,NP,1 
luiz	#,NP,2 
neymar	#,NP,7 
uol	#,NP,7 
zero	#,NP,1 
bluetooth	#,NP,13 
emily	#,NP,10 
gumball	#,NP,1 
marcos	#,NP,41 marcos,NP,1 
wifi	#,NP,7 
caroline	#,NP,1 
caxias	#,NP,1 
del	#,NP,3 
dulcete	#,NP,1 
facebook	#,NP,28 facebook,NP,1 
lana	#,NP,4 
live	#,NP,1 
lm	#,NP,1 
mixers	#,NP,1 
negresco	#,NP,1 
rey	#,NP,3 
bad	#,NP,1 
t	#,NP,1 
3d	#,NP,5 
acer	#,NP,4 
fantasy	#,NP,3 
full	completo,NP,1 #,NP,5 
hd	#,NP,4 
iphone	#,NP,8 
netmovies	#,NP,2 
notebbok	#,NP,1 
philips	#,NP,10 
phone	#,NP,6 
rpg	#,NP,1 
samsung	#,NP,40 
smarttv	#,NP,2 
software	#,NP,5 
sony	#,NP,16 
web	#,NP,6 
windows	#,NP,11 
aguiar	#,NP,1 
amadeu	#,NP,1 
band	#,NP,1 
boni	#,NP,2 
bradesco	#,NP,1 
camargo	#,NP,3 
cardoso	#,NP,1 
cavalcante	#,NP,1 
coisica	#,NP,2 
color	#,NP,4 
correa	#,NP,1 
ernesto	#,NP,1 
figueiredo	#,NP,2 
geisel	#,NP,1 
record	#,NP,9 
roberto	#,NP,5 
s	#,NP,1 
sbt	#,NP,2 
silvio	#,NP,1 
tdo	todo,NP,1 
galaxy	#,NP,15 
joystick	#,NP,1 
l5	#,NP,1 
lg	#,NP,37 
optimus	#,NP,4 
plex	#,NP,1 
prada	#,NP,2 
slll	#,NP,1 
smartphone	#,NP,9 
smartphones	#,NP,2 
tablet	#,NP,2 
top	#,NP,1 
arthur	#,NP,5 
cheers	#,NP,2 
chico	#,NP,5 
faci	#,NP,1 
herbie	#,NP,5 
matheus	#,NP,6 
things	#,NP,1 
vtmnc	#,NP,1 
x	#,NP,1 
creide	#,NP,1 
fake	#,NP,2 
feel	#,NP,1 
good	#,NP,1 
lollipop	#,NP,1 
whindersson	#,NP,11 
and	#,NP,2 
army	#,NP,1 
demi	#,NP,1 
futuralia	#,NP,1 
gandas	#,NP,1 
hashtag	#,NP,1 
one	#,NP,2 
same	#,NP,1 
adnet	#,NP,1 
discovery	#,NP,2 
fabian	#,NP,1 
history	#,NP,2 
marcelo	#,NP,16 
marcius	#,NP,1 
melhem	#,NP,1 
natgeo	#,NP,1 
net	#,NP,6 
vanessa	#,NP,12 
whatsapp	#,NP,2 
daniel	#,NP,8 
diana	#,NP,37 
jaque	#,NP,1 
jararaque	#,NP,3 
maria	#,NP,9 
mariete	#,NP,1 
rodrigao	#,NP,4 
tigor	#,NP,3 
wesley	#,NP,9 
c105	#,NP,1 
edge	#,NP,1 
evil	#,NP,1 
keynote	#,NP,1 
l	#,NP,2 
mp3	#,NP,6 
numbers	#,NP,1 
pages	#,NP,1 
resident	#,NP,2 
screen	#,NP,1 
touch	#,NP,9 
w800	#,NP,2 
xperia	#,NP,1 
fernando	#,NP,32 
lucas	#,NP,2 
medeiros	#,NP,1 
vampeta	#,NP,1 
dangerous	#,NP,1 
mark	#,NP,1 
neon	#,NP,1 
pagem	#,NP,1 
water	#,NP,1 
