dao	dão,O,5 
dificil	difícil,O,20
eh	é,O,3 
mtu	muito,O,1 
p	para,O,3 
q	que,O,7 
ta	está,O,67 estar,O,5 estou,O,1 estás,O,1 
to	estou,O,16 
troxa	trouxa,O,8 
dhow	show,O,1 
n	não,O,2 
ne	né,O,16 
pa	para,O,2 
confinanemto	confinamento,O,1 
impar	ímpar,O,1 
principe	príncipe,O,1 
alem	além,O,2 
ate	até,O,31 
cumendo	comendo,O,1 
cumi	comi,O,2 
gracas	graças,O,1 
mm	mesma,O,1 minutos,O,1 
nao	não,O,282 
otras	outras,O,1 
servico	serviço,O,1 
acustico	acústico,O,1 
ceu	céu,O,5 
felicidadeeer	felicidade,O,1 
memo	mesmo,O,2 
mknja	minha,O,1 
vo	vou,O,11 
demcratica	democrática,O,1 
potar	postar,O,1 
zuar	zoar,O,2 
amanha	amanhã,O,3 
anciosa	ansiosa,O,1 
avancados	avançados,O,1 
durmi	dormir,O,2 
ja	já,O,115 
mainha	mãinha,O,1 
paises	países,O,1 
tinhamos	tínhamos,O,2 
ai	aí,O,3 
so	só,O,85 
tao	tão,O,23 estão,O,3 
aki	aqui,O,17 
alguem	alguém,O,26 
consciencia	consciência,O,1 
decencia	decência,O,1 
infrigi	infringi,O,1 
maluquisses	maluquices,O,1 
ninguem	ninguém,O,9 niguém,O,8 
perjorativamente	pejorativamente,O,1 
porq	porque,O,1 
topico	tópico,O,4 
tranqula	tranquila,O,1 
vao	vão,O,5 
ve	veja,O,1 ver,O,5 vê,O,2 
bb	bbb,O,1 
cm	com,O,1 
la	lá,O,9 
meua	meus,O,1 
poes	pões,O,1 
sabado	sábado,O,3 
ss	as,O,1 
unica	única,O,8 
entenderao	entenderão,O,1 
envergonhanda	envergonhada,O,1 
esta	está,O,3 
estao	estão,O,8 
imaginarios	imaginários,O,1 
sao	são,O,26 
sera	será,O,16 
situacao	situação,O,1 
ultimos	últimos,O,4 
voce	você,O,94 
aq	aqui,O,1 
fodase	foda-se,O,1 
nois	nós,O,10 
oubindo	ouvindo,O,1 
serio	sério,O,2 
vamo	vamos,O,8 
mexmo	mesmo,O,1 
muoto	muito,O,1 
po	pô,O,1 por,O,1 
tas	estás,O,2 
veram	verão,O,1 
assistencia	assistência,O,5 
beneficio	benefício,O,1 
en	em,O,2 
facil	fácil,O,43 
prejuizo	prejuízo,O,1 
tecnica	técnica,O,4 
videos	vídeos,O,9 
cerebro	cérebro,O,2 
codnome	codinome,O,1 
engracado	engraçado,O,1 
tda	toda,O,1 
tdo	tudo,O,1 
abilite	habilite,O,1 
acessivel	acessível,O,2 
co	com,O,1 
dnla	dlna,O,1 
muitoas	muitas,O,1 
otimas	ótimas,O,2 
otimo	ótimo,O,15 
rapido	rápido,O,9 
unico	único,O,3 
usuario	usuário,O,1 
caraio	caralho,O,4 
demonio	demônio,O,5 
maquigem	maquiagem,O,5 
miga	amiga,O,1 
migos	amigos,O,6 
vei	velho,O,4 veio,O,1 
zuarem	zoarem,O,4 
entao	então,O,15 
nene	nenê,O,3 
otario	otário,O,2 
mae	mãe,O,10 
consequencias	consequências,O,1 
trutv	truetv,O,1 
v	ver,O,1 
alguas	algumas,O,1 
atencao	atenção,O,3 
inciais	iniciais,O,2 
lider	líder,O,8 
lorinha	loirinha,O,1 
paredao	paredão,O,5 
auqeles	aqueles,O,1 
carregor	carregador,O,1 
desing	design,O,9 
horrivel	horrível,O,1 
incrivel	incrível,O,13 
parabens	parabéns,O,13 
pendrivese	pendrives,O,1 
possuia	possuía,O,1 
proximo	próximo,O,3 
satelite	satellite,O,1 
inha	tinha,O,1 
qe	que,O,3 
video	vídeo,O,27 
akilo	aquilo,O,1 
heim	hein,O,1 
ki	que,O,3 
ridicula	ridícula,O,2 
comevente	comovente,O,1 
dissernimento	discernimento,O,1 
ha	há,O,3 
instistiu	insistiu,O,1 
parametro	parâmetro,O,1 
paredoes	paredões,O,1 
siceridade	sinceridade,O,1 
tambem	também,O,20 
votamdo	votando,O,1 
musica	música,O,3 
mutuo	mútuo,O,1 
vey	veio,O,1 
bomm	bom,O,1 
asiva	avisa,O,1 
carencia	carência,O,1 
nn	nem,O,2 
familia	família,O,8 
maquear	maquiar,O,5 
voces	vocês,O,14 
exculachada	esculachada,O,1 
maqueada	maquiada,O,1 
smp	sempre,O,1 
axo	acho,O,2 
demsss	demais,O,2 
magrin	magrinho,O,2 
atraves	através,O,2 
combrado	cobrado,O,1 
economica	econômica,O,2 
ideoneas	idôneas,O,1 
insuperaval	insuperável,O,1 
mesmoo	mesmo,O,1 
ncessidade	necessidade,O,1 
necessarias	necessárias,O,2 
oculpa	ocupa,O,1 
otima	ótima,O,13 
rapida	rápida,O,4 rápido,O,1 
sisteme	sistema,O,1 
estudio	estúdio,O,1 
joao	joão,O,2 
odio	ódio,O,3 
viero	vieram,O,1 
flesh	flash,O,1 
aquivos	arquivos,O,1 
camera	câmera,O,44 
fose	fosse,O,1 
grao	grão,O,1 
medio	médio,O,1 
piquena	pequena,O,1 
resistencia	resistência,O,2 
util	útil,O,2 
min	mim,O,2 
mo	muito,O,1 
oculos	óculos,O,1 
diversao	diversão,O,1 
emfim	enfim,O,2 
experiencia	experiência,O,2 
imperdiveis	imperdíveis,O,1 
mecher	mexer,O,1 
quelidade	qualidade,O,1 
sensivel	sensível,O,3 
tensao	tensão,O,1 
cade	cadê,O,6 
fazend	fazendo,O,1 
m	merda,O,1 um,O,1 
solzinho	sozinho,O,1 
viado	veado,O,3 
xitas	xiitas,O,1 
falano	falando,O,1 
herois	heróis,O,1 
pqq	pq,O,1 
serpentario	serpentário,O,1 
trampano	trampando,O,1 
vots	vota,O,1 
comentarios	comentários,O,2 
execelente	excelente,O,6 
oiportunidade	oportunidade,O,5 
possivel	possível,O,7 
tele	tela,O,4 
atras	atrás,O,6 
audio	áudio,O,11 
botao	botão,O,1 
classico	clássico,O,1 
doradoura	duradoura,O,1 
economico	econômico,O,3 
enves	invés,O,1 
exelente	excelente,O,5 
exelentes	excelentes,O,2 
fragancia	fragrância,O,5
genero	gênero,O,3 
gostp0	gosto,O,1 
imbassar	embaçar,O,1 
navagar	navegar,O,1 
podi	pode,O,1 
poloegadas	polegadas,O,1 
proximos	próximos,O,1 
rapidas	rápidas,O,1 
razoavel	razoável,O,2 
supender	suspender,O,1 
tlabet	tablet,O,1 
acessorios	acessórios,O,1 
batsante	bastante,O,1 
cameras	câmeras,O,4 
faceis	fáceis,O,2 
graficos	gráficos,O,4 
imagen	imagem,O,2 
mutio	muito,O,1 
otimos	ótimos,O,5 
recomwendada	recomendada,O,1 
resolucao	resolução,O,1 
volueme	volume,O,1 
cachoreira	cachoeira,O,1 
reserveu	reservou,O,1 
conexao	conexão,O,1 
escanea	escaneia,O,1 
insastifeito	insatisfeito,O,1 
irmao	irmão,O,3 
lavavel	lavável,O,1 
raca	raça,O,1 
radio	rádio,O,1 
recolocacao	recolocação,O,1 
ferias	férias,O,1 
sofrir	sofri,O,1 
solberem	souberem,O,1 
bee	bissexual,O,1 bissexuais,O,3 
cool	cu,O,1 
quotei	citei,O,1 
beneficios	benefícios,O,1 
caracteristicas	características,O,1 
desenpenho	desempenho,O,4 
espaco	espaço,O,4 
impossivel	impossível,O,3 
pessimo	péssimo,O,3 
ue	ué,O,1 
belesura	beleza,O,1 
decibeis	decibéis,O,1 
brodi	brother,O,1 
kmila	kamila,O,1 
ainsa	ainda,O,1 
caminhao	caminhão,O,1 
dormio	dormiu,O,1 
dow	do,O,1 
futuralia	futurália,O,1 
fz	faz,O,1 
guaruja	guarujá,O,1 
hue	rui,O,1 
mensagns	mensagens,O,1 
mes	mês,O,7 
oje	hoje,O,1 
pk	porque,O,1 
stor	gestor,O,1 
esrcreve	escrevem,O,1 
excessoes	excessões,O,1 
icognita	incógnita,O,1 
mermo	mesmo,O,2 
netgeo	natgeo,O,1 
oa	os,O,1 
opcao	opção,O,1 
reaginso	reagindo,O,1 
realitys	reality,O,1 
bacano	bacana,O,1 
minhyuk	min-hyuk,O,1 
compicha	compadre,O,1 
destituida	destituída,O,1 
far	dar,O,1 
goianense	goianiense,O,1 
libanes	libanês,O,1 
tadinha	coitada,O,1 
taticas	táticas,O,1 
trasformo	transformo,O,1 
eitcha	eita,O,1 
psir	pedir,O,1 
u	you,O,1 
compralo	comprá-lo,O,1 
estivessemos	estivéssemos,O,1 
giratoria	giratória,O,1 
produt	produto,O,1 
stts	tts,O,1 
temp	tem,O,1 
amgs	amigas,O,1 
bla	blá,O,1 
cartao	cartão,O,2 
comportamenteo	comportamento,O,1 
mamao	mamão,O,2 
padsa	passa,O,1 
cuzao	cuzão,O,1 
nenem	neném,O,1 
papae	papai,O,1 
laga	largar,O,1 
aprecer	aparecer,O,1 
contigente	contingente,O,1 
pertubando	perturbando,O,1 
