porem	porém,OC,21 
alem	além,OC,15 
ate	até,OC,9 
noticias	notícias,OC,1 
amanha	amanhã,OC,3 
ai	aí,OC,42 
titulo	título,OC,1 
ultima	última,OC,2 
secundarias	secundárias,OC,1 
esta	está,OC,26 
serio	sério,OC,4 
assistencia	assistência,OC,1 
beneficio	benefício,OC,6 
otimo	ótimo,OC,17 
pe	pé,OC,2 
ira	irá,OC,5 
inicio	início,OC,6
musica	música,OC,9 
mutuo	mútuo,OC,4 
maquina	máquina,OC,8 
otima	ótima,OC,18 
serie	série,OC,3 
varias	várias,OC,11 
delicia	delícia,OC,3 
oculos	óculos,OC,1 
duvidas	dúvidas,OC,7 
impares	ímpares,OC,1 
paginas	páginas,OC,1 
radio	rádio,OC,6 
contrario	contrário,OC,2 
policia	polícia,OC,1 
vitima	vítima,OC,1 
mane	mané,OC,1 
vicio	vício,OC,1 
pagina	página,OC,1 
lagrima	lágrima,OC,1 
angulo	ângulo,OC,1 
pratico	prático,OC,3 
ultimo	último,OC,5
liquido	líquido,OC,2 
laminas	lâminas,OC,3 
pasteis	pastéis,OC,1 
obvio	óbvio,OC,1 
negocio	negócio,OC,3 
alo	alô,OC,1 
comercio	comercial,OC,1 
media	média,OC,1 
premio	prêmio,OC,2 
ola	olá,OC,3 
pos	pós,OC,1 
estatua	estátua,OC,1 
historia	história,OC,1 
dispensavel	dispensável,OC,1 
fabricas	fábricas,OC,1 
musicas	músicas,OC,2 
intercambio	intercâmbio,OC,1 
manha	manhã,OC,1 
fabrica	fábrica,OC,1 
publico	público,OC,3 
deposito	depósito,OC,1 
mao	mão,OC,1 
medias	médias,OC,1 
potencia	potência,OC,3 
maquinas	máquinas,OC,2 
numero	número,OC,1 
remedio	remédio,OC,1 
uteis	úteis,OC,1 
dialogo	diálogo,OC,1 
coco	cocô,OC,1 
analises	análises,OC,1 
analise		análise,OC,1
