dao	dão,O,5 
dificil	difícil,O,20 díficil,O,1 
eh	é,IN,79 é,AB,2 é,O,3 #,IN,6 
facul	faculdade,AB,4 faculdade,IN,2 
mtu	muito,AB,4 muito,O,1 
oq	#,IN,4 oque,IN,2 #,AB,6 
p	para,AB,122 pra,AB,4 para,O,3 por,AB,1 
porem	porém,OC,21 
prc	piroca,AB,4 porcaria,AB,1 
q	que,AB,590 que,O,7 quer,AB,1 abreviação,AB,1 
ta	está,AB,75 estar,AB,6 tá,O,4 está,O,67 estar,O,5 está,IN,1 estar,IN,1 estou,O,1 tá,OC,1 #,IN,1 estás,O,1 
to	estou,AB,138 estou,O,16 estou,IN,1 
troxa	trouxa,O,8 
vandalismooo	vandalismo,IN,5 
vc	você,AB,237 voc6e,AB,1 
xrc	xereca,AB,4 
app	application,AB,2 
bio	biografia,AB,2 
d	de,AB,31 #,AB,1 de,IN,11 do,AB,1 
dhow	show,O,1 
dulceee	dulce,IN,1 
lindaaaa	linda,IN,1 
mat	matemática,AB,1 
mt	muita,AB,3 muito,AB,57 muito,IN,16 
n	não,AB,207 não,O,2 
ne	né,O,16 não é,IN,5 né,IN,1 #,AB,2 
pa	pra,AB,1 para,O,2 
pq	porque,AB,185 porque,O,1 
sensa	sensacional,AB,1 
tb	também,AB,29 
uuu	you,IN,1 
confinanemto	confinamento,O,1 
impar	ímpar,O,1 
principe	príncipe,O,1 
tv	televisão,AB,179 televisões,AB,1 
alem	além,OC,15 além,O,2 
ate	até,OC,9 até,O,31 
att	#,AB,1 
crl	caralho,AB,5 
cumendo	comendo,O,1 
cumi	comi,O,2 
gracas	graças,O,1 
mm	mesmo,AB,2 mesma,O,1 minutos,O,1 
nao	não,O,282 
otras	outras,O,1 
servico	serviço,O,1 
acustico	acústico,O,1 
bj	beijo,AB,7 beijo,IN,1 beiijo,AB,1 
c	com,AB,41 você,IN,1 se,IN,3 você,AB,6 como,AB,3 
ceu	céu,O,5 
cs	casa,AB,1 
fb	facebook,AB,3 
felicidadeeer	felicidade,O,1 
hj	hoje,AB,41 
hr	hora,AB,9 horas,AB,1 
luccas	lucas,O,1 
memo	mesmo,O,2 mesmo,AB,1 
mknja	minha,O,1 
rlx	relax,AB,1 
vo	vou,IN,1 vou,O,11 #,IN,1 vou,AB,2 
demcratica	democrática,O,1 
mr	mc,O,1 
noticias	notícias,OC,1 
potar	postar,O,1 
zuar	zoar,O,2 
agr	agora,AB,26 
amanha	amanhã,O,3 amanhã,OC,3 
anciosa	ansiosa,O,1 
avancados	avançados,O,1 
durmi	dormir,O,2 
fzr	fazer,AB,2 fazer,IN,2 
ja	já,O,115 
mainha	mãinha,O,1 mãe,IN,1 
msm	mesmo,AB,20 mesma,AB,4 
neeem	nem,IN,1 
paises	países,O,1 
tinhamos	tínhamos,O,2 
ai	aí,OC,42 aí,O,3 
despiei	fui,IN,1 
mto	muito,AB,16 
ngm	ninguém,AB,18 
noob	novato,IN,1 
so	só,O,85 
tao	tão,O,23 estão,O,3 estão,AB,5 
tbm	também,AB,46 
aki	aqui,IN,6 aqui,O,17 
alguem	alguém,O,26 
consciencia	consciência,O,1 
dakele	daquele,IN,1 
decencia	decência,O,1 
dindim	dinheiro,IN,1 
idemmmmmmmmmm	idem,IN,1 
infrigi	infringi,O,1 
