eh,é
facul,faculdade
ta,está
to,estou
vandalismooo,vandalismo
d,de
lindaaaa,linda
mt,muito
ne,né
bj,beijo
c,você
vo,vou
fzr,fazer
mainha,mãe
neeem,nem
despiei,fui
aki,aqui
dakele,daquele
dindim,dinheiro
idemmmmmmmmmm,idem
jah,já
kd,cadê
lah,lá
soh,só
tah,tá
vlw,valeu
vlws,valeu
aminho,amo
carai,caralho
cm,com
cmg,comigo
ops,opa
bagui,bagulho
nois,nós
guenta,aguenta
lindoooo,lindo
mamis,mamãe
tl,timeline
axei,achei
caraio,caralho
cel,celular
id,identificação
miga,amiga
migos,amigos
vei,velho
goooool,gol
mayyybbbbeeee,maybe
tuuu,tu
berrooooo,berro
v,ver
kedi,cadê
mimmm,mim
tou,estou
juntooooo,junto
akilo,aquilo
blaster,ótima
cells,céus
dah,dá
karai,caralho
ki,que
naum,não
queeeeeee,que
vazaaaaaaaaaaaa,vaza
afrontaaaaaa,afronta
jacareeeeeee,jacaré
qro,quero
bandidaaaaaaaaaaaaaaa,bandida
roupaaa,roupa
smp,sempre
axo,acho
demsss,demais
magrin,magrinho
lags,atrasos
guriaa,guria
ae,aí
mo,maior
akeles,aqueles
maaais,mas
diaa,dia
voteiiiiiiiii,votei
yesssssssss,yes
tds,todos
dispiei,dispistei
mozaumm,amorzão
simmm,sim
af,ave!
brincks,brincadeira
mow,maior
simm,sim
ahhh,ah
putz,poxa
sacooooo,saco
trab,trabalhar
aaaaa,ah
massss,mas
queeeee,que
safadeeeeenha,safadinha
bora,vamos
gnt,gente
ahn,ah
clichezudo,clichê
porreiro,bravo
alfinetante,desconfortante
bombar,arrasar
dislates,disparates
fofolete,fofa
pitacos,palpites
tadinha,coitada
eeee,e
eeeee,e
muuuuito,muito
terrona,terra
net,internet
botiquim,boteco
cargar,carregar
prob,problema
ain,ai
bommm,bom
miiiil,mil
oieeee,oi
euu,eu
ngmmm,ninguém
nojoooo,nojo
todooo,todo
essaaa,essa
agoraaaaaaa,agora
ctz,certeza
euuu,eu
mane,mané
meo,meu
descontrolaaaaaadaaaaa,descontrolada
rangar,comer
chuviscariiii,chuviscar
aviadado,afeminado
aindaa,ainda
amanhaa,amanhã
ambulanteee,ambulante
assistindoo,assistindo
namorandoo,namorando
naquelaa,naquela
piadaa,piada
taa,está
tamirees,tamires
vaii,vai
aaaahh,ah
aaaiii,ah
loka,louca
aaaaaaaaa,ah
brinks,brincando
fdd,fudido
pesadooo,pesado
meldis,merda
tiira,tira
add,adicionar
comentouu,comentou
foii,foi
leuu,leu
onteeem,ontem
textooo,texto
tudoo,tudo
voceee,você
hinoo,hino
mlk,moleque
olleh,olé
caraaaaaa,cara
assimmmmm,assim
mimir,dormir
geladaoooo,geladão
taria,estaria
treinooo,treino
tristeee,triste
iiiii,ih
zoa,brincadeira
fik,fica
qm,quem
comeer,comer
comeriaa,comeria
comidaa,comida
deuu,deu
falandoo,falando
naoo,não
tecooo,troço
vontadee,vontade
fluzao,fluzão
sorteee,sorte
pudinzinho,pudim
brigadinha,obrigada
votalhada,votação
xs,vezes
topper,top
eo,eu
bue,muito
hm,um
bao,bom
men,homem
mn,man
xau,tchau
muie,mulher
jogabilidades,jogabilidade
muitoooooo,muito
kcete,cacete
cell,céu
dells,deus
muuiiiiiiiiiiiiiito,muito
amorzinho,amor
aviona,avião
mamy,mãe
minimo,menino
vesguinho,vesgo
amoooor,amor
homi,homem
agoooora,agora
deuso,deus
novis,novidade
gravaaaaar,gravar
mimmmmm,mim
sabeeeee,sabe
vcccc,você
falsiane,falso
foraaaaaaaaaaaaaaaa,fora
adoruuuu,adoro
brigadaaaa,obrigada
hinooooo,hino
momis,mãe
surtadinho,louco
kra,cara
ameiiii,amei
maisssssssss,mais
moreee,amor
siiim,sim
maravilhosaaa,maravilhosa
boladona,chateada
deuuus,deus
meuuuu,meu
vamoooooooooooo,vamos
cornetar,xingar
fuuuuii,fui
peguete,namorado
ahazo,arrasou
obrigaaddooo,obrigado
raba,nádegas
scrrrrr,socorro
boyzinho,menino
entaum,então
pepeca,vagina
massssss,mas
mew,meu
muuuuuuuito,muito
caraiiiii,caralho
problemaaaa,problema
pouquin,pouquinho
aaa,ah
legaall,legal
atee,até
dormiiiir,dormir
dormiir,dormir
ouu,ou
pensoo,penso
quandoo,quando
quintaa,quinta
raiaar,raiar
zap,whatsapp
lokas,loucas
buzanfam,buzanfão
marvada,malvada
amoresssss,amores
bosssssta,bosta
dmsss,demais
fodaaa,foda
acordouu,acordou
boaaa,boa
milionariaaaa,milionária
tardee,tarde
poem,põe
poha,porra
migaa,amiga
oii,oi
